Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/60823
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: rls@uihepa.hep.uiuc.edu (Ray Swartz (Oh, that guy again))
Subject: Re: japanese moon landing?
Reply-To: rls@uihepa.hep.uiuc.edu
Organization: Vis-Orb Tragnetics Recorporation
Lines: 35

In article <C5L2xt.IqD@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes:
>In article <C5Kys1.C6r@panix.com> dannyb@panix.com (Daniel Burstein) writes:
>>A short story in the newspaper a few days ago made some sort of mention
>>about how the Japanese, using what sounded like a gravity assist, had just
>>managed to crash (or crash-land) a package on the moon.
>
>Their Hiten engineering-test mission spent a while in a highly eccentric
>Earth orbit doing lunar flybys, and then was inserted into lunar orbit
>using some very tricky gravity-assist-like maneuvering.  This meant that
>it would crash on the Moon eventually, since there is no such thing as
>a stable lunar orbit (as far as anyone knows), and I believe I recall
>hearing recently that it was about to happen.


The gravity maneuvering that was used was to exploit 'fuzzy regions'.  These
are described by the inventor as exploiting the second-order perturbations in a
three body system.  The probe was launched into this region for the
earth-moon-sun system, where the perturbations affected it in such a way as to
allow it to go into lunar orbit without large expenditures of fuel to slow
down. The idea is that 'natural objects sometimes get captured without
expending fuel, we'll just find the trajectory that makes it possible". The
originator of the technique said that NASA wasn't interested, but that Japan
was because their probe was small and couldn't hold a lot of fuel for
deceleration.

	This from an issue of 'Science News' or 'The Planetary Report' I
believe, about 2 months ago(?).


Raymond L. Swartz Jr. (rls@uihepa.hep.uiuc.edu)
================================================================================
I read the newspaper today and was amazed that, in 24 hours, five billion
people could accomplish so little.
================================================================================


========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 japanes moon land       short stori newspap day
ago made sort mention japanes use sound like
graviti assist manag crash crash land packag moon
hiten engin test mission spent high eccentr earth
orbit lunar flybi insert lunar orbit use tricki
graviti assist like maneuv meant crash moon eventu
sinc thing stabl lunar orbit far anyon know believ
recal hear recent happen   graviti maneuv use
exploit fuzzi region describ inventor exploit
second order perturb three bodi system probe
launch region earth moon sun system perturb affect
way allow lunar orbit without larg expenditur fuel
slow idea natur object sometim get captur without
expend fuel we'll find trajectori make possibl
origin techniqu said nasa wasn't interest japan
probe small couldn't hold lot fuel deceler  issu
scienc new the planetari report believ month ago
read newspap today amaz hour five billion peopl
could accomplish littl
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
lunar, 5392, 0.284003458465
crash, 2212, 0.261183488268
moon, 5851, 0.240122599701
graviti, 4010, 0.225763512759
fuel, 3715, 0.21586537507
orbit, 6280, 0.2140664987
perturb, 6569, 0.195735991249
maneuv, 5476, 0.182996961173
exploit, 3306, 0.182996961173
region, 7228, 0.174122325512
newspap, 6035, 0.172009154684
japanes, 4826, 0.170036970101
probe, 6886, 0.15836633175
assist, 705, 0.147690514082
land, 5104, 0.125878379083
ago, 336, 0.115202561415
deceler, 2437, 0.107021050214
hiten, 4320, 0.105046667801
earth, 2956, 0.103013755457
eccentr, 2971, 0.100338041359
tricki, 9095, 0.0990514994527
inventor, 4742, 0.0990514994527
expenditur, 3293, 0.0990514994527
use, 9363, 0.0979658636698
fuzzi, 3738, 0.0967722422291
expend, 3292, 0.0930563311043
believ, 1009, 0.0913216244019
stabl, 8298, 0.0907770738807
insert, 4670, 0.0850184850507
trajectori, 9044, 0.0845490518309
flybi, 3564, 0.0845490518309
japan, 4825, 0.0798404253891
captur, 1509, 0.0798404253891
accomplish, 218, 0.0798404253891
affect, 310, 0.0785538834825
amaz, 459, 0.078249008672
techniqu, 8740, 0.0757557693569
planetari, 6665, 0.0755030126985
meant, 5598, 0.0747696770656
spent, 8223, 0.0731879975265
slow, 8044, 0.0731879975265
eventu, 3233, 0.0727655143716
recal, 7166, 0.0725587151341
billion, 1092, 0.070456536727
couldn, 2176, 0.0672644317609
stori, 8418, 0.0668399268785
hour, 4395, 0.0665635467857
sometim, 8128, 0.0650056962678
hold, 4341, 0.0646405936573
packag, 6375, 0.0644021061572
wasn, 9652, 0.0641674043332
bodi, 1194, 0.0640514358606
hear, 4223, 0.0638221924398
describ, 2556, 0.0637088899356
natur, 5966, 0.0626212008458
like, 5272, 0.0622668189203
sun, 8539, 0.061126403321
month, 5847, 0.060938045303
test, 8812, 0.0607520566311
issu, 4793, 0.0602970698261
mention, 5632, 0.0591757352745
report, 7291, 0.0588471460973
recent, 7168, 0.0587661272401
short, 7904, 0.0584464195531
mission, 5772, 0.0584464195531
launch, 5147, 0.058133478677
sound, 8150, 0.0580562675122
engin, 3109, 0.0576761462062
small, 8054, 0.0576012807073
sort, 8144, 0.0568727636842
allow, 432, 0.0566610287373
today, 8964, 0.0565215380381
manag, 5472, 0.0564522830897
nasa, 5956, 0.0556455791614
