Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/61110
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: nsmca@aurora.alaska.edu
Subject: Re: Death and Taxes (was Why not give $1 billion to...
Article-I.D.: aurora.1993Apr23.000021.1
Organization: University of Alaska Fairbanks
Lines: 55
Nntp-Posting-Host: acad3.alaska.edu

In article <1993Apr22.162501.747@indyvax.iupui.edu>, tffreeba@indyvax.iupui.edu writes:
> In my first posting on this subject I threw out an idea of how to fund
> such a contest without delving to deep into the budget.  I mentioned
> granting mineral rights to the winner (my actual wording was, "mining
> rights.)  Somebody pointed out, quite correctly, that such rights are
> not anybody's to grant (although I imagine it would be a fait accompli
> situation for the winner.)  So how about this?  Give the winning group
> (I can't see one company or corp doing it) a 10, 20, or 50 year
> moratorium on taxes.
> 
> Tom Freebairn 


Who says there is no mineral rights to be given? Who says? The UN or the US
Government? 
Major question is if you decide to mine the moon or Mars, who will stop you?
The UN can't other than legal tom foolerie.. Can the truly inforce it?

If you go to the moon as declare that you are now a soverign nation, who will
stop you from doing it. Maybe not acknowledge you? 

Why can't a small company or corp or organization go an explore the great
beyond of space? what right does earth have to say what is legal and what is
not.. Maybe I am a few years ahead on this.. It is liek the old Catholic Church 
stating which was Portugals and what was Spains, and along came the Reformation
and made it all null and void.. 

What can happen is to find a nation which is acknowledged, and offer your
services as a space miner and then go mine the asteroids/mars/moon or what
ever.. As long as yur sponsor does not get in trouble..
Basically find a country who wants to go into space, but can't for soem reason
or another, but who will give you a "home".. Such as Saudia Arabia or
whatever..
There are nations in the World who are not part of the UN, got to them and
offer your services and such.. I know that sound crazy, but. is it..
Also once you have the means to mine the moon (or whatever) then just do it.
The UN if done right can be made to be so busy with something else, they will
not care.. 
If your worried about the US, do the same thing..

Why be limited by the short sighted people of earth.. After all they have many
other things to worry about that if someone is mining the Moon or MArs or what
ever..
Basically what I am saying is where is that drive of yeasteryears to go a
little bit farther out, to do jus ta  little bit more, and to tell the crown to
piss off.. If my ancestors thought the way many today think, Id have been born
in Central Europe just north of the Black Sea..

I just read a good book, "Tower of the Gods" Interesting..

==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked


 

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 death tax give billion articl aurora 1993apr23
first post threw idea fund contest without delv
deep budget mention grant miner right winner
actual word mine right somebodi point quit correct
right anybodi grant although imagin fait accompli
situat winner give win group can't see one compani
corp year moratorium tax  tom freebairn   say
miner right given say govern major question decid
mine moon mar stop can't legal tom fooleri truli
inforc  moon declar soverign nation stop mayb
acknowledg  can't small compani corp organ explor
great beyond space right earth say legal mayb year
ahead liek old cathol church state portug spain
along came reform made null void  happen find
nation acknowledg offer servic space miner mine
asteroid mar moon ever long yur sponsor get troubl
basic find countri want space can't soem reason
anoth give home saudia arabia whatev nation world
part got offer servic know sound crazi also mean
mine moon whatev done right made busi someth els
care worri thing  limit short sight peopl earth
mani thing worri someon mine moon mar ever basic
say drive yeasteryear littl bit farther jus littl
bit tell crown piss ancestor thought way mani
today think born central europ north black sea
read good book tower god interest
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
moon, 5851, 0.271914560875
miner, 5736, 0.255201404604
right, 7399, 0.244475930597
mar, 5500, 0.197759007226
nation, 5962, 0.158203628272
winner, 9786, 0.154039738418
acknowledg, 239, 0.151565087985
tax, 8718, 0.142890940196
corp, 2153, 0.142326926387
grant, 3994, 0.141774542561
worri, 9845, 0.138197281095
say, 7653, 0.136030679388
legal, 5200, 0.134204667644
tom, 8976, 0.120851584396
offer, 6203, 0.117557481172
whatev, 9718, 0.116901374915
space, 8164, 0.113986005802
stop, 8413, 0.113270156399
compani, 1958, 0.11144702682
servic, 7813, 0.110240857414
basic, 937, 0.110240857414
spain, 8178, 0.104448373317
soverign, 8160, 0.104448373317
accompli, 216, 0.104448373317
portug, 6756, 0.101459402665
jus, 4936, 0.101459402665
farther, 3393, 0.0990172358203
crown, 2247, 0.0990172358203
1993apr23, 45, 0.0990172358203
moratorium, 5857, 0.0969524131743
freebairn, 3669, 0.0951637824414
mayb, 5564, 0.0937739040647
null, 6155, 0.0935860983235
ancestor, 497, 0.0935860983235
earth, 2956, 0.0933221283259
bit, 1122, 0.090356581381
littl, 5308, 0.090037653014
void, 9568, 0.0886604862254
reform, 7218, 0.0867436742922
liek, 5259, 0.0867436742922
piss, 6640, 0.0858791915658
tower, 9023, 0.0843015074479
cathol, 1564, 0.0835772860367
fait, 3366, 0.0828902209134
sea, 7739, 0.080448054069
europ, 3220, 0.0788703699511
declar, 2447, 0.0783832314231
sponsor, 8254, 0.0774590834166
asteroid, 716, 0.0765946006902
sight, 7943, 0.0761824194547
crazi, 2216, 0.0761824194547
aurora, 787, 0.0761824194547
