Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/60198
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: apryan@vax1.tcd.ie
Subject: STS-56 Press Kit
Lines: 9
Nntp-Posting-Host: vax1.tcd.ie
Organization: Trinity College Dublin
Lines: 9

Does anyone know ifthe STS-56 email press kit was ever released?

-Tony Ryan, "Astronomy & Space", new International magazine, available from:
              Astronomy Ireland, P.O.Box 2888, Dublin 1, Ireland.
6 issues (one year sub.): UK 10.00 pounds, US$20 surface (add US$8 airmail).
ACCESS/VISA/MASTERCARD accepted (give number, expiration date, name&address).

   (WORLD'S LARGEST ASTRO. SOC. per capita - unless you know better? 0.033%)
Tel: 0891-88-1950 (UK/N.Ireland) 1550-111-442 (Eire). Cost up to 48p per min

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 sts press kit      anyon know ifth sts email
press kit ever releas  toni ryan astronomi space
new intern magazin avail astronomi ireland box
dublin ireland issu one year sub pound surfac add
airmail access visa mastercard accept give number
expir date name address  world largest astro soc
per capita unless know better tel ireland eir cost
48p per min
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
ireland, 4763, 0.469617600016
kit, 5033, 0.297770084961
sts, 8462, 0.269605956695
astronomi, 729, 0.219043342011
press, 6841, 0.218471051224
eir, 3019, 0.164652933945
capita, 1503, 0.164652933945
48p, 110, 0.164652933945
mastercard, 5538, 0.161615327265
dublin, 2905, 0.161615327265
airmail, 363, 0.158935968285
visa, 9539, 0.156539200005
soc, 8089, 0.148885042481
min, 5732, 0.140771308541
largest, 5126, 0.134802978347
sub, 8482, 0.127400185356
tel, 8754, 0.119476814526
pound, 6776, 0.119476814526
ryan, 7557, 0.119035086883
toni, 8984, 0.117759149178
magazin, 5432, 0.117349259552
expir, 3300, 0.117349259552
astro, 724, 0.115033880478
intern, 4716, 0.101178733526
date, 2391, 0.10001190039
surfac, 8587, 0.0994501864476
releas, 7253, 0.0994501864476
know, 5052, 0.0979987167156
add, 260, 0.0976720739642
access, 209, 0.097164656819
email, 3060, 0.0957069744022
accept, 208, 0.0934676341475
box, 1254, 0.0929059202053
issu, 4793, 0.0927676324918
unless, 9289, 0.0926301803587
address, 264, 0.088391506888
cost, 2169, 0.0864311143493
avail, 811, 0.0790167298883
world, 9841, 0.0761872168397
number, 6156, 0.0739707527443
better, 1060, 0.0680535370339
new, 6023, 0.0662649337466
space, 8164, 0.0645269490791
anyon, 554, 0.0611286826794
year, 9943, 0.0571706828569
