Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/comp.graphics/37935
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: dsnyder@falcon.aamrl.wpafb.af.mil
Subject: Re: Real Time Graphics??
Distribution: na
Organization: USAF AL/CFH, WPAFB, Dayton, OH
Lines: 30

In article <C4vA9r.KK7@taurus.cs.nps.navy.mil>, stockel@oahu.oc.nps.navy.mil (Jim Stockel) writes:
> Hi,
> 
> I will be writing a data acquisition program to collect data from a
> variety of sources including RS232, and external A/D's, and I would
> like to be able to display the data in near realtime.  I've done this
> type of thing on PC's and other machines, but I am unaware of any graphics
> package that could help me with this on a UNIX machine.
> 
> .......
> 
> Does anyone have any ideas on commercial or "free" packages that might
> suit my needs?  I would really appreciate any input.  I'm sure this has
> been done many times before.
> 

  For a commerical package try WAVE from  Precision Visuals
                                           505-530-6563

  For a free package try KHOROS from University of New Mexico
                                      508-277-6563
                                   ftp from
                              ptrg.eece.unm.edu

    Login in anonyomus or ftp  with a valid email address as the password
               cd /pub/khoros/release

   That will get you to the right place.

                                                         David

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 real time graphic        write data acquisit
program collect data varieti sourc includ rs232
extern d like abl display data near realtim i'v
done type thing pc machin unawar graphic packag
could help unix machin    anyon idea commerci free
packag might suit need realli appreci input i'm
sure done mani time   commer packag tri wave
precis visual   free packag tri khoro univers new
mexico  ftp ptrg eec unm edu  login anonyomus ftp
valid email address password pub khoro releas  get
right place  david
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
packag, 6375, 0.388723596707
khoro, 5002, 0.298931645438
data, 2385, 0.247879640447
machin, 5416, 0.203000130001
free, 3668, 0.181703412067
ftp, 3709, 0.180379190358
unawar, 9214, 0.15851235684
eec, 3004, 0.15851235684
unm, 9292, 0.155884440825
realtim, 7152, 0.155884440825
commer, 1938, 0.151407176919
graphic, 3997, 0.146912805938
acquisit, 245, 0.146026490069
login, 5331, 0.144487155725
pc, 6484, 0.143047204612
mexico, 5671, 0.139212967876
password, 6455, 0.138068537619
tri, 9087, 0.12923253432
extern, 3322, 0.126895490571
wave, 9661, 0.124954136371
varieti, 9431, 0.120989803064
input, 4662, 0.118535518264
valid, 9411, 0.114313245687
visual, 9547, 0.113931843264
suit, 8529, 0.112468269599
precis, 6809, 0.108282663421
pub, 6971, 0.107991005694
collect, 1898, 0.107703111397
time, 8936, 0.106025167496
unix, 9284, 0.10215956617
releas, 7253, 0.0975407698562
display, 2734, 0.0961348561237
commerci, 1940, 0.0943358859316
email, 3060, 0.0938694264662
near, 5982, 0.0903204547825
david, 2397, 0.0900594986098
type, 9177, 0.0871451666155
address, 264, 0.086694413943
appreci, 587, 0.0862525876553
sourc, 8153, 0.0823493817804
abl, 180, 0.081626678973
edu, 3001, 0.0791076721974
write, 9865, 0.0769162897418
includ, 4579, 0.0767728069423
real, 7144, 0.0764885801887
place, 6657, 0.0764180856643
idea, 4482, 0.0762777613123
univers, 9282, 0.0741448909278
sure, 8585, 0.0718514223894
program, 6905, 0.0692553936154
right, 7399, 0.0678697556208
realli, 7150, 0.0662060162887
help, 4249, 0.0655478122615
new, 6023, 0.0649926650013
mani, 5479, 0.0632880491678
thing, 8869, 0.0609529334369
need, 5993, 0.0599887063006
anyon, 554, 0.0599550285608
like, 5272, 0.046979406518
